Cable type (Backhaul/Subsea),On-Net,Cable Network,Cable Segment,Segment,A PoP,A-end Country,A PoP Status,A Pop Type,Z PoP,B-end Country,Z PoP Status,Z Pop Type,Product,RTD(ms),Weight,Supplier/Provider,"1 Akoranga Drive, Northcote, Auckland 0627, New Zealand"
Backhaul,,N/A,ZZ119,,EQNX,UNITED STATES OF AMERICA,In Service,Telstra International POP,1WMR,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,9,90,,
Backhaul,,N/A,ZZ120,,COC&,#N/A,In Service,Customer Premises - Generic,CHEP,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ121,,PTHP,AUSTRALIA,In Service,Telstra International POP,PTH&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ122,,ULD4,UNITED KINGDOM,In Service,Telstra Colo Resell,ULCN,UNITED KINGDOM,In Service,Telstra International POP,NA,,,,ULD4 decommisioned
Backhaul,,N/A,ZZ123,,PMRS,PHILIPPINES,In Service,Telstra International POP,MKI&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ124,,USDF,UNITED STATES OF AMERICA,In Service,Telstra International POP,USAT,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ125,,MBAI,#N/A,In Service,Carrier - Cable Station,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ126,,ULHX,UNITED KINGDOM,In Service,Telstra International POP,FPTV,FRANCE,In Service,Telstra International POP,PS,5,60,,
Terrestrial,,N/A,ZZ127,,GFR4,GERMANY,In Service,Telstra International POP,FPTV,FRANCE,In Service,Telstra International POP,NA,,,,GFR4 is IP pop only
Backhaul,,N/A,ZZ128,,ULHC,UNITED KINGDOM,In Service,Telstra International POP,FPTV,FRANCE,In Service,Telstra International POP,PS,5,60,,
Backhaul,,N/A,ZZ129,,NDVS,#N/A,In Service,Carrier - POP,IDTA,INDIA,In Service,Telstra International POP,NA,,,,
Subsea,,N/A,ZZ130,,ISTT,SINGAPORE,In Service,Telstra International POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,Cable path details missing
Backhaul,,N/A,ZZ131,,USEP,#N/A,Planned,Telstra International POP,ULAL,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ132,,JAAJ,JAPAN,In Service,Telstra International POP,AJG&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ133,,SYEQ,AUSTRALIA,In Service,Telstra International POP,SYD&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,N/A,ZZ134,,TUAS,SINGAPORE,In Service,Telstra International POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ135,,MANC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,56,90,,
Backhaul,,N/A,ZZ136,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,HKTH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ137,,MRBC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,1WMR,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,4.6,90,,
Backhaul,,N/A,ZZ138,,WT&T,#N/A,Decommissioned,Carrier - POP,PCCW,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ139,,PTHP,AUSTRALIA,In Service,Telstra International POP,PGCB,#N/A,In Service,Telstra Domestic POP,NA,,,,
Backhaul,,N/A,ZZ140,,ICTP,INDIA,Decommissioned,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ141,,SEL&,#N/A,In Service,Customer Premises - Generic,KSSD,KOREA SOUTH,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ142,,HKMI,HONG KONG,In Service,Telstra International POP,HKG&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ143,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,PS,18.533,60,,
Backhaul,,N/A,ZZ144,,MRSJ,FRANCE,Decommissioned,Telstra International POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Subsea,,N/A,ZZ145,,UNSE,UNITED STATES OF AMERICA,In Service,Telstra International POP,ULHC,UNITED KINGDOM,In Service,Telstra International POP,PS,70.013,60,,
Backhaul,,N/A,ZZ146,,LOBT,#N/A,In Service,Carrier - POP,GOBT,UNITED KINGDOM,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ147,,IMNV,INDIA,In Service,Telstra International POP,IKUV,INDIA,In Service,Telstra International POP,PS,45.24,60,,
Backhaul,,N/A,ZZ148,,USDN,UNITED STATES OF AMERICA,In Service,Telstra International POP,EQNX,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ149,,TNRT,UNITED STATES OF AMERICA,Decommissioned,Telstra International POP,NY8A,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ150,,ULCO,UNITED KINGDOM,In Service,Telstra International POP,MRLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,N/A,ZZ151,,IMNV,INDIA,In Service,Telstra International POP,6NTP,SINGAPORE,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ152,,UCME,UNITED STATES OF AMERICA,In Service,Telstra International POP,SLOJ,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,49.724,90,,
